fecha,semana_iso,corpus,diario,provincia,region,ciudad_origen,url_medio,titular
2026-06-18,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Piden indagar a Francisco, el hermano de Manuel Adorni: ""Nada que ocultar"", dijo su abogado"
2026-06-18,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,La salud del padre de Leo Messi y el verdadero motivo detrás del llanto
2026-06-18,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Pérdidas millonarias en una nueva estafa virtual a una vecina de La Plata
2026-06-18,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,¿Qué le pasa a Jorge Messi? La familia rompió el silencio sobre su estado de salud
2026-06-18,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,¡Paraguas en mano esta tarde en La Plata! Anuncian inminentes lluvias
2026-06-18,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"En Provincia, los gremios ya dan como ""imposible"" un acuerdo paritario antes del aguinaldo"
2026-06-18,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Gol de Tapia a Milei: la Justicia avaló el cambio de domicilio de la AFA a Provincia
2026-06-18,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"VIDEO. Desde adentro: así chocaron a un motociclista en La Plata, que está grave"
2026-06-18,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Las reacciones por el grave estado de salud de Jorge Messi, el papá de Leo"
2026-06-18,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,La salud de Jorge Messi | Qué dijo el doctor Capuya sobre el cuadro que preocupa a Leo
2026-06-18,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Scaloni recibió dos noticias importantes de cara al partido contra Austria
2026-06-18,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Póster de EL DIA | Messi leyenda eterna, el mundo a sus pies"
2026-06-18,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"La remera del Mundial de Raiders Jeans, a $20.000 y $15.000 para suscriptores de EL DIA"
2026-06-18,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,La Selección Argentina tras la goleada y la mirada en Austria
2026-06-18,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Perú confirmó la visita del papa León XIV y crece la expectativa que venga a la Argentina
2026-06-18,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Examen de residencias 2026: más de 6.300 profesionales rinden desde hoy en La Plata
2026-06-18,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,VIDEO. “Necesitamos un acuerdo para defender la Provincia”
2026-06-18,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"La provincia sin agua, pero repleta de glaciares, que mide el costo de la minería"
2026-06-18,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Súper promo Día del Padre con Banco Provincia! 20% de reintegro y 4 cuotas en Baobab
2026-06-18,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Gimnasia decidió apartar a Steimbach hasta que renueve: aumentó seis veces su valor ¿y analiza ofertas?
2026-06-18,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Estudiantes: ¿Neves hace el Bolso?
2026-06-18,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"IOMA le respondió a los médicos de La Plata, que amenazaron con cortar la atención"
2026-06-18,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Los Hermanos renueva sus ofertas en frutas y verduras con precios accesibles en La Plata
