fecha,semana_iso,corpus,diario,provincia,region,ciudad_origen,url_medio,titular
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,La disputa peronista sin fin y la inquietud que dispara una visita de Macri a la Provincia
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Póster de EL DIA | El mejor póster de Messi para el cuadro que todos debemos tener en casa
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Desgarrador incendio en Los Hornos: las llamas destruyeron un comedor que asistía a niños
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Videos con dólares y más dólares que ponen el foco sobre Insaurralde y Cirio
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Milei blindó a Adorni: el uso del acto por el Día de la Bandera y la referencia a Belgrano
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Menos nacimientos, más vacantes: la Provincia podría garantizar el jardín para todos los chicos sin construir salas"
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"FOTOS | ¡Que nada te falte para alentar a la Selección! EL DIA ofrece gorros, banderas y todo el cotillón"
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"La crisis que el Gobierno no logra cerrar: Adorni, el relato libertario y las “buenas noticias” que no se lucen"
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Asado y cambios para esperar por Austria
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Ricardo Giusti y el “Chino” Tapia, guardianes de la gloria de 1986, ilusionados como cualquier hincha"
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Banderazo en Dallas bajo el lema “Mimar a Messi”
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Japón goleó a Túnez y se ilusiona con avanzar como líder en el Mundial
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Lo dio vuelta: triunfo alemán con los goles del banco
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Choque y alcoholemia positiva en La Plata: dos personas heridas y hospitalizadas
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,La agenda del domingo para disfrutar con todo en La Plata
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Día del Padre con abrigo en La Plata: comenzó el invierno y habrá bajas temperaturas
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"La agenda deportiva del domingo en modo Mundial: partidos, horarios y TV"
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Día del Padre 2026: las promociones no alcanzaron y las ventas cayeron por cuarto año seguido
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Granos o vacas: cuando aparece el “pago en especie”
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"En Meridiano V, polémica por un club que se expande"
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Condena firme por la muerte de Manuel Storani
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Pimpinela llega a La Plata con sus “Noticias del Amor”
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"En qué invierte el Dibu Martínez: agua, negocios inmobiliarios y diseño"
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Los padres buscan el bienestar personal y desarrollo profesional
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,RIGI: radiografía de inversiones y el caso de la Provincia de Buenos Aires
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Seguimos “standalone” y el mercado argentino pierde impulso
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Acceder a un empleo estable: jóvenes que se enfrentan a la tercera década
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,El derecho a saber qué comemos: crece la advertencia entre los especialistas
2026-06-21,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Cómo cuidar el auto cuando “duerme afuera” durante el invierno
