fecha,semana_iso,corpus,diario,provincia,region,ciudad_origen,url_medio,titular
2026-06-17,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"La UTA alertó que ""se trabó"" la paritaria y amenazó con un nuevo paro de micros"
2026-06-17,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"VIDEO. EL DIA en Kansas | Messi, el día después: locura en todos lados por el 10 y así lo viven los argentinos"
2026-06-17,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Ciberpedofilia: allanamientos en La Plata y otras 75 localidades bonaerenses
2026-06-17,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,EL DIA en el Mundial | Kansas regresa a la normalidad tras el paso de la marea celeste y blanca en el debut mundialista
2026-06-17,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,El Senado postergó hasta la próxima semana la interpelación a Manuel Adorni
2026-06-17,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Velas, carteles y pedido de justicia a un año del crimen de Pablo Mieres en La Plata"
2026-06-17,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"La ""cábala móvil"" platense que acompaña a la Selección: un inflable gigante con las tres estrellas"
2026-06-17,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Médicos platenses en alerta por IOMA: advirtió posibles medidas de fuerza
2026-06-17,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Tras un debut ideal, así fue el regreso a los entrenamientos de la Selección Argentina"
2026-06-17,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"VIDEO.- ""Días difíciles"": por qué Lionel Messi lloró tras convertirle el primer gol a Argelia"
2026-06-17,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Cristiano Ronaldo, en su sexto Mundial, con Portugal empató 1 a 1 ante RD Congo"
2026-06-17,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Así reflejó la prensa internacional la goleada argentina sobre Argelia con los goles de Messi
2026-06-17,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"La agenda del Mundial 2026: posiciones, resultados, días y horarios de los partidos"
2026-06-17,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,La Selección Argentina tras la goleada y la mirada en Austria
2026-06-17,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"La remera del Mundial de Raiders Jeans, a $20.000 y $15.000 para suscriptores de EL DIA"
2026-06-17,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,IPS confirmó cuándo se cobran aguinaldo y haberes de junio: el cronograma de pago
