fecha,semana_iso,corpus,diario,provincia,region,ciudad_origen,url_medio,titular,palabras_encontradas,cantidad_palabras
2026-06-01,2026-W23,provincial,LA VOZ DEL INTERIOR,Córdoba,Centro,Córdoba,https://www.lavoz.com.ar,Ciudad de Córdoba. Convocan a una nueva marcha de Ni Una Menos este miércoles,marcha,1
2026-06-01,2026-W23,provincial,EL DIARIO DEL CENTRO DEL PAÍS,Córdoba,Centro,Villa María,https://www.eldiariocba.com.ar,Marcha Ni Una Menos: la convocatoria será en plaza Centenario,marcha,1
2026-06-01,2026-W23,provincial,EL DIARIO,Entre Ríos,Centro,Entre rios,https://www.eldiario.com.ar,Paro y ruidazo: Paraná se prepara para la marcha Ni Una Menos del 3 de junio,"paro, marcha",2
2026-06-01,2026-W23,provincial,EL DIARIO,Entre Ríos,Centro,Entre rios,https://www.eldiario.com.ar,Caos en Capital: paro sorpresivo en el Subte C por asbesto,paro,1
2026-06-01,2026-W23,provincial,ELONCE,Entre Ríos,Centro,Entre rios,https://www.elonce.com,Marcha Ni Una Menos: convocan a un paro activo y movilización este 3 de junio en Paraná,"paro, movilización, marcha",3
2026-06-01,2026-W23,provincial,UNO ENTRE RÍOS,Entre Ríos,Centro,Entre rios,https://www.unoentrerios.com.ar,Ni Una Menos: convocan a paro activo y movilización,"paro, movilización",2
2026-06-01,2026-W23,provincial,MDZ ONLINE,Mendoza,Cuyo,Mendoza,https://www.mdzol.com,"Marcha por Ni Una Menos: el Gobierno afirma que ""no hay motivos"" para criticar y sostiene que bajaron los femicidios",marcha,1
2026-06-01,2026-W23,provincial,DIARIO DE CUYO,San Juan,Cuyo,San Juan,https://www.diariodecuyo.com.ar,San Juan y una nueva marcha de Ni Una Menos en medio del dolor por dos crímenes que conmocionan al país,marcha,1
2026-06-01,2026-W23,provincial,DIARIO DE LA REPÚBLICA,San Luis,Cuyo,San Luis,https://www.eldiariodelarepublica.com,"El femicidio de Agostina será una de las consignas de la marcha federal de ""Ni una Menos""",marcha,1
2026-06-01,2026-W23,provincial,EL ESQUIÚ,Catamarca,NOA,Catamarca,https://www.elesquiu.com,"ATE apoyó la eliminación de coseguros, pidió eliminar los plus médicos y ratificó el paro",paro,1
2026-06-01,2026-W23,provincial,EL ESQUIÚ,Catamarca,NOA,Catamarca,https://www.elesquiu.com,Nueva marcha de Ni Una Menos: “Seguimos reclamando exactamente lo mismo que hace 11 años”,marcha,1
2026-06-01,2026-W23,provincial,EL TRIBUNO,Jujuy,NOA,San Salvador de Jujuy,https://www.eltribunodejujuy.com,Profesionales estatales anuncian paro y movilización para este viernes,"paro, movilización",2
2026-06-01,2026-W23,provincial,LEA,Jujuy,NOA,San Salvador de Jujuy,https://www.periodicolea.com.ar,Paro nacional universitario: cuándo es y a qué hora,paro,1
2026-06-01,2026-W23,provincial,NUEVA RIOJA,La Rioja,NOA,La Rioja,https://www.nuevarioja.com.ar,Ángela Torres pidió justicia por el crimen de Agostina Vega y se sumó al reclamo de distintas artistas,reclamo,1
2026-06-01,2026-W23,provincial,NUEVO DIARIO,Santiago del Estero,NOA,Santiago del Estero,https://www.nuevodiarioweb.com.ar,"La UNSE estará de paro hasta el viernes, junto a todas las universidades del país",paro,1
2026-06-01,2026-W23,provincial,PANORAMA,Santiago del Estero,NOA,Santiago del Estero,https://www.diariopanorama.com,En la marcha por Agostina: una madre buscaba a su hija y la halló tras más de dos semanas,marcha,1
2026-06-01,2026-W23,provincial,LA GACETA,Tucumán,NOA,Tucumán,https://www.lagaceta.com.ar,El trasfondo de las tensiones por el precio del boleto y qué podría motivar un paro de UTA,paro,1
2026-06-01,2026-W23,provincial,DIARIO CHACO,Chaco,NEA,Resistencia,https://www.diariochaco.com,Ni Una Menos en Sáenz Peña: semana de actividades y marcha contra la violencia de género,marcha,1
2026-06-01,2026-W23,provincial,NORTE,Chaco,NEA,Resistencia,https://www.diarionorte.com,"Ni Una Menos. Sáenz Peña se moviliza con una semana de actividades, debates y marcha contra la violencia de género",marcha,1
2026-06-01,2026-W23,provincial,NORTE,Chaco,NEA,Resistencia,https://www.diarionorte.com,Dolor y pedido de justicia: las imágenes de la marcha por Graciela López,marcha,1
2026-06-01,2026-W23,provincial,NORTE,Chaco,NEA,Resistencia,https://www.diarionorte.com,Asesinato de Agostina. Concejala cordobesa reclamó el Jury contra el fiscal Garzón,reclamo,1
2026-06-01,2026-W23,provincial,EL COMERCIAL,Formosa,NEA,Formosa,https://www.elcomercial.com.ar,Piden ampliar la indagatoria del único detenido mientras la familia marcha para reclamar por la menor desaparecida en Córdoba,marcha,1
2026-06-01,2026-W23,provincial,FORMOSA AHORA,Formosa,NEA,Formosa,https://www.formosaahora.com.ar,Nacif “ detrás de un reclamo genuino se evidencia el interes político de intervenir la Provincia”,reclamo,1
2026-06-01,2026-W23,provincial,EL TERRITORIO,Misiones,NEA,Posadas,https://www.elterritorio.com.ar,'Ni Una Menos' convocó a una marcha por el femicidio de Agostina Vega,marcha,1
2026-06-01,2026-W23,provincial,ADN SUR,Chubut,Patagonia,Comodoro Rivadavia,https://www.adnsur.com.ar,Le dieron tres días para demoler su casa y un desesperado reclamo logró frenar la medida,reclamo,1
