fecha,semana_iso,titulares_scrapeados,matches
2026-06-18,2026-W25,3561,20
2026-06-19,2026-W25,3556,22
2026-06-21,2026-W25,3556,18
2026-06-22,2026-W26,3566,22
2026-06-23,2026-W26,3558,24
2026-06-24,2026-W26,3561,15
