fecha,semana_iso,corpus,diario,provincia,region,ciudad_origen,url_medio,titular
2026-06-26,2026-W26,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Incidentes con cooperativistas: fuego en la puerta de la Municipalidad y vidrios rotos
2026-06-26,2026-W26,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Los cruces de 16vos del Mundial confirmados, los eliminados y con quién jugaría Argentina"
2026-06-26,2026-W26,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,¿Qué se hace en La Plata este finde? Mirá la agenda de espectáculos
2026-06-26,2026-W26,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Venezuela desolada: ascienden a 589 los muertos y buscan sobrevivientes
2026-06-26,2026-W26,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Milei bancó a Adorni, pero si la Justicia lo considera culpable ""lo eyecto de una patada”"
2026-06-26,2026-W26,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Ya cargan GNC 6 nuevas estaciones de servicio en la Región: ¿cuáles son?
2026-06-26,2026-W26,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Ley de Financiamiento Universitario: cómo pagará el Gobierno y qué siguen reclamando los gremios
2026-06-26,2026-W26,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Choque en cadena en la Ruta 36, a la altura de La Plata: ""No se veía nada por la niebla"""
2026-06-26,2026-W26,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"“No sé si llegué a ser amigo de Maradona, pero sí que me hice querer en el día a día”"
2026-06-26,2026-W26,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Revelan el sueldo de Gianni Infantino en la FIFA: ¿cuánto cobra el presidente?
2026-06-26,2026-W26,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,La grave denuncia que hizo Jordania
2026-06-26,2026-W26,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Scaloni, con la mira en Jordania y el rival de la próxima ronda"
2026-06-26,2026-W26,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"La agenda del Mundial 2026: posiciones, resultados, días y horarios de los partidos"
2026-06-26,2026-W26,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Nada apaga el caso Adorni y el Gobierno debe tomar una decisión: ¿se va o se queda?
2026-06-26,2026-W26,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Municipales de La Plata: confirman cuándo cobran aguinaldo y haberes de junio
2026-06-26,2026-W26,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Fábricas de La Plata frenadas por el corte de gas y fuerte impacto en la producción y el empleo
2026-06-26,2026-W26,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,La pelea entre Kicillof y el kirchnerismo suma capítulos y tensión
2026-06-26,2026-W26,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,¿Se terminó la siesta del dólar?
2026-06-26,2026-W26,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Qué dejó la vuelta de Estudiantes a los entrenamientos: regresos, ausencias y viaje a Uruguay"
2026-06-26,2026-W26,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Gimnasia: cómo será la logística para la gira por Rusia
2026-06-26,2026-W26,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Actualización salarial por tareas extras en el SPB y bronca: ""Es una burla, nos deshumanizan"""
2026-06-26,2026-W26,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,La muerte de Rocío Alvarito: nuevas pericias revelan lesiones en vida
2026-06-26,2026-W26,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Economía en caída en La Plata: otro trimestre con saldo negativo
2026-06-26,2026-W26,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Mas nombramientos de jueces, pero sin Michelli"
2026-06-26,2026-W26,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Viernes helado en La Plata: la ciudad amaneció bajo cero
