fecha,semana_iso,corpus,diario,provincia,region,ciudad_origen,url_medio,titular,palabras_encontradas,cantidad_palabras
2026-06-30,2026-W27,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Cancelan protesta en IOMA por la deuda con un centro de día de La Plata,protesta,1
2026-06-30,2026-W27,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Arrancó el paro docente que afecta las clases en La Plata: reclaman salarios y seguridad,paro,1
2026-06-30,2026-W27,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Más policías en las calles, es el reclamo que aún persiste",reclamo,1
2026-06-30,2026-W27,provincial,5 DÍAS,Buenos Aires,AMBA,Quilmes,https://www.diario5dias.com.ar,Paro docente en la Provincia: este martes no habrá clases por reclamos salariales y contra la violencia en las escuelas,paro,1
2026-06-30,2026-W27,provincial,UNO ENTRE RÍOS,Entre Ríos,Centro,Entre rios,https://www.unoentrerios.com.ar,AMET se sumó a Agmer y anunció paro y movilización para este miércoles,"paro, movilización",2
2026-06-30,2026-W27,provincial,LA CAPITAL,Santa Fe,Centro,Rosario,https://www.lacapital.com.ar,"Marcha nórdica, el deporte que gana terreno en Rosario con una actividad diferente",marcha,1
2026-06-30,2026-W27,provincial,AIRE DIGITAL,Santa Fe,Centro,Santa Fe,https://www.airedesantafe.com.ar,Poletti salió al cruce del reclamo por el SEOM y negó una ampliación en barrio Candioti,reclamo,1
2026-06-30,2026-W27,provincial,DIARIO DE CUYO,San Juan,Cuyo,San Juan,https://www.diariodecuyo.com.ar,Rawson transforma el Barrio Teniente Silva: nueva luminaria LED pone fin a un reclamo vecinal de 30 años,reclamo,1
2026-06-30,2026-W27,provincial,HUARPE,San Juan,Cuyo,San Juan,https://www.diariohuarpe.com,Escuelas técnicas de San Juan: el reclamo por fondos llega a la paritaria docente,reclamo,1
2026-06-30,2026-W27,provincial,EL ANCASTI,Catamarca,NOA,Catamarca,https://www.elancasti.com.ar,El Norte Grande respaldó el reclamo de Vialidad Nacional por el desfinanciamiento de las rutas,reclamo,1
2026-06-30,2026-W27,provincial,EL ESQUIÚ,Catamarca,NOA,Catamarca,https://www.elesquiu.com,Reclamo por el deterioro de la avenida Galíndez: “Todo el tramo hasta avenida Argentina Indígena está lleno de baches”,reclamo,1
2026-06-30,2026-W27,provincial,EL TRIBUNO,Jujuy,NOA,San Salvador de Jujuy,https://www.eltribunodejujuy.com,El papa León XIV reclamó ayuda internacional y envió fondos para Venezuela,reclamo,1
2026-06-30,2026-W27,provincial,EL TRIBUNO,Jujuy,NOA,San Salvador de Jujuy,https://www.eltribunodejujuy.com,Humahuaca se prepara para la 28° Marcha Evocativa,marcha,1
2026-06-30,2026-W27,provincial,NORTE,Chaco,NEA,Resistencia,https://www.diarionorte.com,"Marcha por Axel López, a casi un mes de su desaparición",marcha,1
2026-06-30,2026-W27,provincial,EL TERRITORIO,Misiones,NEA,Posadas,https://www.elterritorio.com.ar,"Tras varios días de protesta, padres de Pozo Azul lograron que sus hijos vuelvan a tener clases",protesta,1
2026-06-30,2026-W27,provincial,EL DIARIO DE LA PAMPA,La Pampa,Patagonia,Santa Rosa,https://www.eldiariodelapampa.com.ar,Protesta de vigiladores en una sucursal de La Anónima por despidos en La Pampa y la región,protesta,1
2026-06-30,2026-W27,provincial,LA ARENA,La Pampa,Patagonia,Santa Rosa,https://www.laarena.com.ar,Trabajadores reincorporados tras protesta gremial,protesta,1
2026-06-30,2026-W27,provincial,LA OPINIÓN AUSTRAL,Santa Cruz,Patagonia,Santa Cruz,https://www.laopinionaustral.com.ar,ATE Santa Cruz inició un paro de 48 horas y advirtió que profundizará las medidas si no mejora la oferta salarial,paro,1
2026-06-30,2026-W27,provincial,LA OPINIÓN AUSTRAL,Santa Cruz,Patagonia,Santa Cruz,https://www.laopinionaustral.com.ar,“Voy a luchar para que no quede impune”: fuerte reclamo de la familia de “huesito” Carabajal a cuatro años del hecho,reclamo,1
2026-06-30,2026-W27,provincial,NUEVO DÍA,Santa Cruz,Patagonia,Santa Cruz,https://www.eldiarionuevodia.com.ar,Un sindicato estatal de Santa Cruz va al paro por 48 horas,paro,1
2026-06-30,2026-W27,provincial,TIEMPO SUR,Santa Cruz,Patagonia,Santa Cruz,https://www.tiemposur.com.ar,Paritarias ADOSAC ratifica paro de 96 horas ante la falta de una nueva oferta salarial,paro,1
2026-06-30,2026-W27,provincial,EL SUREÑO,Tierra del Fuego,Patagonia,Río Grande,https://www.surenio.com.ar,ATSA convocó a un paro provincial para este miércoles,paro,1
2026-06-30,2026-W27,nacional,EL DESTAPE,Nacional,Nacional,Nacional,https://www.eldestapeweb.com,"Por la crisis económica nacional, docentes realizarán paro en la Provincia",paro,1
2026-06-30,2026-W27,nacional,LA POLÍTICA ONLINE,Nacional,Nacional,Nacional,https://www.lapoliticaonline.com.ar,"Sin Baradel al frente del gremio, los docentes hacen el primer paro contra Kicillof",paro,1
2026-06-30,2026-W27,nacional,TIEMPO ARGENTINO,Nacional,Nacional,Nacional,https://www.tiempoar.com.ar,No hay clases: docentes bonaerenses de paro por mejoras salariales,paro,1
2026-06-30,2026-W27,nacional,ÁMBITO FINANCIERO,Nacional,Nacional,Nacional,https://www.ambito.com,Los docentes bonaerenses realizan hoy paro por 24 horas y crece el conflicto con gremios,paro,1
