fecha,semana_iso,corpus,diario,provincia,region,ciudad_origen,url_medio,titular,palabras_encontradas,cantidad_palabras
2026-06-27,2026-W26,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Ataque al Municipio: dan a conocer la cifra de los destrozos y protesta en Fiscalías,protesta,1
2026-06-27,2026-W26,provincial,EL DIARIO,Córdoba,Centro,Villa Carlos Paz,https://www.eldiariodecarlospaz.com.ar,"Por una movilización, refuerzan la seguridad en el centro de Córdoba",movilización,1
2026-06-27,2026-W26,provincial,EL DIARIO DEL CENTRO DEL PAÍS,Córdoba,Centro,Villa María,https://www.eldiariocba.com.ar,Piden medidas por el paro judicial,paro,1
2026-06-27,2026-W26,provincial,UNO ENTRE RÍOS,Entre Ríos,Centro,Entre rios,https://www.unoentrerios.com.ar,La CGT anunció un plan de lucha que concluirá en un paro y una marcha nacional,"paro, marcha",2
2026-06-27,2026-W26,provincial,EL ESQUIÚ,Catamarca,NOA,Catamarca,https://www.elesquiu.com,D’Agostini marcha segundo tras el primer tramo del Rally del Poncho 2026,marcha,1
2026-06-27,2026-W26,provincial,EL TRIBUNO,Salta,NOA,Salta,https://www.eltribuno.com,"Caso Thiago: Marcha, furia y un fuerte reclamo por la restitución de un bebé de 10 meses","marcha, reclamo",2
2026-06-27,2026-W26,provincial,NUEVO DIARIO,Salta,NOA,Salta,https://www.nuevodiariodesalta.com.ar,Marocco destacó la agenda federal del Norte Grande y reclamó condiciones para el desarrollo regional,reclamo,1
2026-06-27,2026-W26,provincial,NUEVO DIARIO,Salta,NOA,Salta,https://www.nuevodiariodesalta.com.ar,Tartagal: Hubo tensión en el Concejo Deliberante tras una protesta y se suspendió la sesión,protesta,1
2026-06-27,2026-W26,provincial,LA VOZ DEL CHACO,Chaco,NEA,Resistencia,https://www.diariolavozdelchaco.com,«Quieren ocultarnos para la Bienal»: el duro reclamo de vendedores ambulantes que dicen vivir con apenas $30 mil diarios,reclamo,1
2026-06-27,2026-W26,provincial,LA VOZ DEL CHACO,Chaco,NEA,Resistencia,https://www.diariolavozdelchaco.com,Sociedad «Quieren ocultarnos para la Bienal»: el duro reclamo de vendedores ambulantes que dicen vivir con apenas $30 mil diarios,reclamo,1
2026-06-27,2026-W26,provincial,NORTE,Chaco,NEA,Resistencia,https://www.diarionorte.com,"Marcha por Axel López, a casi un mes de su desaparición",marcha,1
2026-06-27,2026-W26,provincial,PRIMERA EDICIÓN,Misiones,NEA,Posadas,https://www.primeraedicion.com.ar,Reclamo por un aula satélite: “Estamos luchando por el futuro de nuestros hijos”,reclamo,1
2026-06-27,2026-W26,provincial,ADN SUR,Chubut,Patagonia,Comodoro Rivadavia,https://www.adnsur.com.ar,17:13 Estrellas Amarillas reclamó endurecer las penas por siniestros viales y reforzar la prevención en Comodoro,reclamo,1
2026-06-27,2026-W26,provincial,ADN SUR,Chubut,Patagonia,Comodoro Rivadavia,https://www.adnsur.com.ar,Comodoro exige frenar el traspaso de activos de YPF: Othar Macharashvili envió una carta documento y reclamó diálogo,reclamo,1
2026-06-27,2026-W26,provincial,ADN SUR,Chubut,Patagonia,Comodoro Rivadavia,https://www.adnsur.com.ar,Estrellas Amarillas reclamó endurecer las penas por siniestros viales y reforzar la prevención en Comodoro,reclamo,1
